ds,yhat,yhat_lower,yhat_upper,y,cutoff
2025-10-11,-2.7011958181723053,-3.3576138581063257,-2.033214519202948,10.0,2025-10-04
2025-11-05,50.8711687050634,44.17665020757833,57.48677589173778,20.0,2025-11-03
2025-11-06,40.67120410236359,33.84650240959331,47.95363421309979,50.0,2025-11-03
2025-11-08,24.968281048954594,18.03723616467635,32.06563138140887,50.0,2025-11-03
2025-11-09,0.6905541567563205,-5.959545345610552,7.69024875135434,30.0,2025-11-03
2025-11-10,-23.83142921958487,-30.58103153027769,-16.678095918410165,30.0,2025-11-03
2025-12-05,-32.19108454516254,-42.72908041892302,-21.61552338393805,20.0,2025-12-03
2025-12-07,-70.17204172534497,-80.534740612056,-60.338170499745964,20.0,2025-12-03
2025-12-08,-88.72183258716646,-98.30586510006673,-78.19688772799721,10.0,2025-12-03
2025-12-09,-113.75007910455506,-124.06563005449017,-103.59942288512394,10.0,2025-12-03
2025-12-10,-136.2378172002397,-146.48479729076476,-126.11313719716314,10.0,2025-12-03
2026-01-03,0.9658302128505909,-9.781334001383238,11.38452919142375,20.0,2026-01-02
2026-01-05,-16.31099364923375,-27.32056608427854,-4.938349960470504,20.0,2026-01-02
2026-01-08,-35.854938587179674,-46.48075005748163,-25.16207403284587,10.0,2026-01-02
2026-01-09,-48.35958002081324,-58.89008244206889,-37.875625136118614,10.0,2026-01-02
2026-02-04,13.630955692086076,2.9898457405223726,22.761089532417568,10.0,2026-02-01
2026-02-06,13.620586820975742,3.2233870055093483,24.186662086650365,30.0,2026-02-01
2026-03-05,13.83369496242344,3.6136439203567705,23.419205399844095,20.0,2026-03-03
2026-04-03,12.877486985603703,3.8353343618641156,22.843592789430225,10.0,2026-04-02
2026-04-05,11.725434975705621,1.624107228311069,20.602145527881436,15.0,2026-04-02
2026-04-07,10.925199819189377,1.8964548982900056,19.385660504515425,10.0,2026-04-02
2026-04-08,13.479961409325579,3.9232420497780174,22.240887900955936,10.0,2026-04-02
2026-04-09,15.699485045769624,5.96648322668666,25.436114816893653,10.0,2026-04-02
2026-05-06,15.068346755936922,4.504046872093397,24.57960397698894,10.0,2026-05-02
2026-05-07,16.806656018212852,7.491451841525541,25.863006786936463,20.0,2026-05-02
2026-05-08,15.978147432415511,6.672897032517489,24.417637706127227,10.0,2026-05-02
2026-06-03,15.203533030317834,6.485900058509225,24.786000829150368,20.0,2026-06-01
2026-06-08,18.85776824928486,9.739022360590326,27.684700924943012,20.0,2026-06-01
2026-07-03,13.976078016299656,4.511594181384243,23.235682891654726,10.0,2026-07-01
2026-07-04,15.192988312062349,5.324517209437056,23.97707454635692,20.0,2026-07-01
2026-07-08,14.789734599708094,6.027286186837186,24.33780690474663,10.0,2026-07-01
