"id","product_id","sale_date","quantity_sold","price_sold","imported_at"
"1","246","2024-01-01","83.00","83000","2026-09-08 18:29:35"
"2","223","2024-01-01","35.00","17500","2026-09-08 18:29:35"
"3","166","2024-01-01","20.00","40000","2026-09-08 18:29:35"
"4","37","2024-01-01","40.00","60000","2026-09-08 18:29:35"
"5","238","2024-01-01","60.00","30000","2026-09-08 18:29:35"
"6","230","2024-01-01","72.00","36000","2026-09-08 18:29:35"
"7","153","2024-01-01","23.00","23000","2026-09-08 18:29:35"
"8","43","2024-01-01","7000.00","101500","2026-09-08 18:29:35"
"9","159","2024-01-01","6000.00","186000","2026-09-08 18:29:35"
"10","233","2024-02-01","40.00","20000","2026-09-08 18:29:35"
"11","253","2024-02-01","20.00","40000","2026-09-08 18:29:35"
"12","122","2024-02-01","24.00","24000","2026-09-08 18:29:35"
"13","35","2024-02-01","15.00","37500","2026-09-08 18:29:35"
"14","193","2024-02-01","24.00","12000","2026-09-08 18:29:35"
"15","246","2024-02-01","34.00","34000","2026-09-08 18:29:35"
"16","6","2024-02-01","18.00","63000","2026-09-08 18:29:35"
"17","163","2024-02-01","37.00","92500","2026-09-08 18:29:35"
"18","133","2024-02-01","20000.00","330000","2026-09-08 18:29:35"
"19","37","2024-02-01","12.00","18000","2026-09-08 18:29:35"
"20","127","2024-02-01","20.00","70000","2026-09-08 18:29:35"
"21","159","2024-02-01","7500.00","232500","2026-09-08 18:29:35"
"22","3","2024-02-01","10.00","25000","2026-09-08 18:29:35"
"23","251","2024-02-01","20.00","20000","2026-09-08 18:29:35"
"24","76","2024-02-01","72.00","36000","2026-09-08 18:29:35"
"25","144","2024-03-01","10.00","20000","2026-09-08 18:29:35"
"26","76","2024-03-01","48.00","24000","2026-09-08 18:29:35"
"27","223","2024-03-01","15.00","7500","2026-09-08 18:29:35"
"28","239","2024-03-01","8.00","8000","2026-09-08 18:29:35"
"29","11","2024-03-01","1500.00","51000","2026-09-08 18:29:35"
"30","90","2024-03-01","25.00","25000","2026-09-08 18:29:35"
"31","127","2024-03-01","94.00","329000","2026-09-08 18:29:35"
"32","184","2024-03-01","30.00","180000","2026-09-08 18:29:35"
"33","16","2024-03-01","24.00","60000","2026-09-08 18:29:35"
"34","50","2024-03-01","20.00","60000","2026-09-08 18:29:35"
"35","138","2024-03-01","25.00","12500","2026-09-08 18:29:35"
"36","6","2024-03-01","24.00","84000","2026-09-08 18:29:35"
"37","251","2024-03-01","25.00","25000","2026-09-08 18:29:35"
"38","43","2024-03-01","10000.00","145000","2026-09-08 18:29:35"
"39","51","2024-04-01","20.00","140000","2026-09-08 18:29:35"
"40","275","2024-04-01","36.00","36000","2026-09-08 18:29:35"
"41","209","2024-04-01","12.00","120000","2026-09-08 18:29:35"
"42","111","2024-04-01","18.00","27000","2026-09-08 18:29:35"
"43","163","2024-04-01","23.00","57500","2026-09-08 18:29:35"
"44","286","2024-04-01","19.00","95000","2026-09-08 18:29:35"
"45","278","2024-04-01","40.00","760000","2026-09-08 18:29:35"
"46","142","2024-04-01","42.00","21000","2026-09-08 18:29:35"
"47","142","2024-05-01","39.00","19500","2026-09-08 18:29:35"
"48","43","2024-05-01","9000.00","130500","2026-09-08 18:29:35"
"49","159","2024-05-01","17000.00","527000","2026-09-08 18:29:35"
"50","134","2024-05-01","15.00","90000","2026-09-08 18:29:35"
"51","136","2024-05-01","10.00","30000","2026-09-08 18:29:35"
"52","6","2024-05-01","19.00","66500","2026-09-08 18:29:35"
"53","35","2024-05-01","20.00","50000","2026-09-08 18:29:35"
"54","76","2024-05-01","250.00","125000","2026-09-08 18:29:35"
"55","234","2024-05-01","24.00","24000","2026-09-08 18:29:35"
"56","88","2024-05-01","10.00","150000","2026-09-08 18:29:35"
"57","160","2024-05-01","25.00","162500","2026-09-08 18:29:35"
"58","91","2024-05-01","72.00","72000","2026-09-08 18:29:35"
"59","127","2024-05-01","120.00","420000","2026-09-08 18:29:35"
"60","82","2024-05-01","28.00","56000","2026-09-08 18:29:35"
"61","193","2024-05-01","33.00","16500","2026-09-08 18:29:35"
"62","275","2024-05-01","39.00","39000","2026-09-08 18:29:35"
"63","287","2024-05-01","48.00","216000","2026-09-08 18:29:35"
"64","37","2024-05-01","64.00","96000","2026-09-08 18:29:35"
"65","246","2024-06-01","124.00","124000","2026-09-08 18:29:35"
"66","91","2024-06-01","38.00","38000","2026-09-08 18:29:35"
"67","136","2024-06-01","55.00","165000","2026-09-08 18:29:35"
