product_id,product_name,jumlah_hari_transaksi,total_unit_terjual,rata2_per_transaksi
TLR2,Telur 1/2,201,3731.0,18.562189054726367
MGR001,Mie goreng,182,9676.0,53.16483516483517
KPH001,Kopi hitam,159,7734.0,48.64150943396226
YP500,Yupi 500,157,8524.0,54.29299363057325
KP001,Kecap,103,1972.0,19.145631067961165
MKH001,Mie kuah,102,4247.0,41.63725490196079
PLS002,Pilus,91,2456.0,26.98901098901099
CL1001,Chocolatos 1000,88,2135.0,24.261363636363637
RTP001,Roti pia,88,1021.0,11.602272727272727
GRR005,Goriorio,87,2904.0,33.37931034482759
GPT001,Gery potato,74,1682.0,22.72972972972973
MSK001,Masako,72,2073.0,28.791666666666668
GL1001,Gula 1kg,69,981.0,14.217391304347826
GRM01,Garam,61,1225.0,20.081967213114755
IDM002,Indomilk,60,1392.0,23.2
DLN02,Dilan 2000,54,1406.0,26.037037037037038
TLR1,Telur 1kg,54,728.0,13.481481481481481
DLN001,Dilan 1000,51,1438.0,28.19607843137255
LDK001,Ladaku,50,1182.0,23.64
GDY001,Good Day,49,1197.0,24.428571428571427
BRS1,Beras 1kg,49,718.0,14.653061224489797
SBE001,Ekonomi colek,48,998.0,20.791666666666668
RCK001,Racik,48,816.0,17.0
CLB001,Chocolatos bubuk,46,1185.0,25.76086956521739
TGJP001,Tepung jempol,45,825.0,18.333333333333332
CL5001,Chocolatos 500,43,1390.0,32.325581395348834
TLR4,Telur 1/4,42,695.0,16.547619047619047
SAR001,Saori,39,784.0,20.102564102564102
GRA001,Garuda atom,39,641.0,16.435897435897434
RYC001,Royco,38,1032.0,27.157894736842106
BPT1,B. putih 1/4,38,574.0,15.105263157894736
JLI02,Inaco ecer,36,1072.0,29.77777777777778
APT001,Apetito,36,606.0,16.833333333333332
RY001,Roma kopyor,36,433.0,12.027777777777779
NTS001,Nutrisari,34,895.0,26.323529411764707
FTG001,Fruta gummy 2,34,618.0,18.176470588235293
OREO001,Oreo,33,1308.0,39.63636363636363
GCC001,Garuda crunchy,31,641.0,20.677419354838708
THD001,Teh dandang,31,588.0,18.967741935483872
TGP002,Tepung peyek,31,540.0,17.419354838709676
STS,Santan sasa,31,429.0,13.838709677419354
TLR2,TELUR 1/2,31,378.0,12.193548387096774
TPL2,Tropical 2Lt,31,333.0,10.741935483870968
SNK001,Snack,29,501.0,17.275862068965516
BRS1,BERAS 1KG,29,356.0,12.275862068965518
KB001,Kuah bakso,28,802.0,28.642857142857142
MCN001,Micin 1000,28,635.0,22.678571428571427
KGA001,Kopi gula aren,28,540.0,19.285714285714285
RPK001,Rapika,27,439.0,16.25925925925926
MKE001,Mie eko,26,369.0,14.192307692307692
SKB001,Soklin bubuk,26,362.0,13.923076923076923
RST001,Roasta,25,630.0,25.2
DNY001,Downy,24,773.0,32.208333333333336
TRS001,Terasi,24,529.0,22.041666666666668
OKJ2,Okky jelly 2,24,350.0,14.583333333333334
PTS001,Piattos,23,453.0,19.695652173913043
LFB001,Lifebouy,23,325.0,14.130434782608695
GSK001,Gery salut kecil,22,619.0,28.136363636363637
DSO001,Desaku opor,22,445.0,20.227272727272727
RTG001,Roti gery,22,294.0,13.363636363636363
EKC001,Ekonomi cair,22,255.0,11.590909090909092
GSB002,Gery salut besar,22,218.0,9.909090909090908
POK001,Permen okky,21,649.0,30.904761904761905
KCG4,Kacang 1/4,19,208.0,10.947368421052632
GG001,Gentle Gen,18,521.0,28.944444444444443
THD001,Teh Dandang,18,488.0,27.11111111111111
OKJ1,Okky jelly 1,18,260.0,14.444444444444445
KRS001,Kara santan,18,220.0,12.222222222222221
CLP001,Chocolatos pillow,17,394.0,23.176470588235293
KTB001,Ketumbar,17,348.0,20.470588235294116
TGJ02,Tepung kanji 1/4,16,256.0,16.0
TGS001,T. segitiga 1kg,15,249.0,16.6
GL2001,Gula 1/2,15,192.0,12.8
KGK001,Kingkong,15,171.0,11.4
SSS001,SOSIS,14,409.0,29.214285714285715
PTT001,Permen tingting,14,311.0,22.214285714285715
JPT001,Japota,14,256.0,18.285714285714285
MP001,Mie panda,14,199.0,14.214285714285714
KKS001,Kerupuk seblak,14,190.0,13.571428571428571
MYK001,Minyak kita,14,136.0,9.714285714285714
CK001,Cokelat koin,13,438.0,33.69230769230769
EMR001,Emeron,13,379.0,29.153846153846153
GM001,Gula merah 1/4,13,231.0,17.76923076923077
SG7001,Sari gandum 7,13,132.0,10.153846153846153
SNC2,Sunco 2L,13,132.0,10.153846153846153
GRR001,Goriorio 1000,12,394.0,32.833333333333336
RST02,Roasta besar,12,260.0,21.666666666666668
BB001,Bamboe,12,206.0,17.166666666666668
DTL001,Detol,12,140.0,11.666666666666666
KPU001,Kerupuk udang,12,103.0,8.583333333333334
